Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ns/call  ns/call  name    
 26.68      0.04     0.04  1000000    40.01   107.30  Interconnect::binarySearch(unsigned int, std::vector<Range, std::allocator<Range> > const*, unsigned int, unsigned int) const
 20.01      0.07     0.03 10997992     2.73     2.73  std::vector<Range, std::allocator<Range> >::size() const
 13.34      0.09     0.02  4998984     4.00     4.00  Range::contains(unsigned int) const
 13.34      0.11     0.02                             main
  6.67      0.12     0.01  5004061     2.00     2.00  Range::~Range()
  6.67      0.13     0.01  2000000     5.00     5.00  std::operator|=(std::_Ios_Fmtflags&, std::_Ios_Fmtflags)
  6.67      0.14     0.01  1000000    10.00    10.00  int __gnu_cxx::__stoa<long, int, char, int>(long (*)(char const*, char**, int), char const*, char const*, unsigned long*, int)
  6.67      0.15     0.01   994988    10.05    10.05  std::_Optional_base<Range>::_Optional_base(std::nullopt_t)
  0.00      0.15     0.00  4998984     0.00     2.73  std::vector<Range, std::allocator<Range> >::_M_range_check(unsigned long) const
  0.00      0.15     0.00  4998984     0.00     2.73  std::vector<Range, std::allocator<Range> >::at(unsigned long) const
  0.00      0.15     0.00  4998984     0.00     0.00  std::vector<Range, std::allocator<Range> >::operator[](unsigned long) const
  0.00      0.15     0.00  4000000     0.00     0.00  std::operator&(std::_Ios_Fmtflags, std::_Ios_Fmtflags)
  0.00      0.15     0.00  2000000     0.00     5.00  std::ios_base::setf(std::_Ios_Fmtflags, std::_Ios_Fmtflags)
  0.00      0.15     0.00  2000000     0.00     0.00  std::operator&=(std::_Ios_Fmtflags&, std::_Ios_Fmtflags)
  0.00      0.15     0.00  2000000     0.00     0.00  std::operator~(std::_Ios_Fmtflags)
  0.00      0.15     0.00  2000000     0.00     0.00  std::operator|(std::_Ios_Fmtflags, std::_Ios_Fmtflags)
  0.00      0.15     0.00  1000004     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_data() const
  0.00      0.15     0.00  1000000     0.00     0.00  Interconnect::maskRegion(unsigned int) const
  0.00      0.15     0.00  1000000     0.00   110.04  Interconnect::load(unsigned int) const
  0.00      0.15     0.00  1000000     0.00     0.00  std::unique_ptr<Interconnect, std::default_delete<Interconnect> >::get() const
  0.00      0.15     0.00  1000000     0.00     0.00  std::unique_ptr<Interconnect, std::default_delete<Interconnect> >::operator->() const
  0.00      0.15     0.00  1000000     0.00     0.00  std::_Optional_base<Range>::_M_is_engaged() const
  0.00      0.15     0.00  1000000     0.00     0.00  std::__uniq_ptr_impl<Interconnect, std::default_delete<Interconnect> >::_M_ptr() const
  0.00      0.15     0.00  1000000     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::c_str() const
  0.00      0.15     0.00  1000000     0.00     0.00  std::optional<Range>::operator bool() const
  0.00      0.15     0.00  1000000     0.00     0.00  std::_Head_base<0ul, Interconnect*, false>::_M_head(std::_Head_base<0ul, Interconnect*, false> const&)
  0.00      0.15     0.00  1000000     0.00     0.00  std::_Tuple_impl<0ul, Interconnect*, std::default_delete<Interconnect> >::_M_head(std::_Tuple_impl<0ul, Interconnect*, std::default_delete<Interconnect> > const&)
  0.00      0.15     0.00  1000000     0.00     0.01  std::_Optional_base<Range>::~_Optional_base()
  0.00      0.15     0.00  1000000     0.00     0.01  std::_Optional_payload<Range, false, false>::~_Optional_payload()
  0.00      0.15     0.00  1000000     0.00    10.00  std::__cxx11::stoi(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, unsigned long*, int)
  0.00      0.15     0.00  1000000     0.00     0.01  std::optional<Range>::~optional()
  0.00      0.15     0.00  1000000     0.00     0.00  Interconnect* const& std::__get_helper<0ul, Interconnect*, std::default_delete<Interconnect> >(std::_Tuple_impl<0ul, Interconnect*, std::default_delete<Interconnect> > const&)
  0.00      0.15     0.00  1000000     0.00     0.00  std::tuple_element<0ul, std::tuple<Interconnect*, std::default_delete<Interconnect> > >::type const& std::get<0ul, Interconnect*, std::default_delete<Interconnect> >(std::tuple<Interconnect*, std::default_delete<Interconnect> > const&)
  0.00      0.15     0.00  1000000     0.00     0.00  bool std::operator!=<Range>(std::optional<Range> const&, std::nullopt_t)
  0.00      0.15     0.00  1000000     0.00     0.00  __gnu_cxx::__stoa<long, int, char, int>(long (*)(char const*, char**, int), char const*, char const*, unsigned long*, int)::_Range_chk::_S_chk(long, std::integral_constant<bool, true>)
  0.00      0.15     0.00  1000000     0.00     0.00  __gnu_cxx::__stoa<long, int, char, int>(long (*)(char const*, char**, int), char const*, char const*, unsigned long*, int)::_Save_errno::_Save_errno()
  0.00      0.15     0.00  1000000     0.00     0.00  __gnu_cxx::__stoa<long, int, char, int>(long (*)(char const*, char**, int), char const*, char const*, unsigned long*, int)::_Save_errno::~_Save_errno()
  0.00      0.15     0.00   994988     0.00     0.00  std::_Optional_payload<Range, false, false>::_Optional_payload()
  0.00      0.15     0.00   994988     0.00    10.05  std::optional<Range>::optional(std::nullopt_t)
  0.00      0.15     0.00    15036     0.00     0.00  Range& std::forward<Range&>(std::remove_reference<Range&>::type&)
  0.00      0.15     0.00     5012     0.00     0.00  Range::offset(unsigned int) const
  0.00      0.15     0.00     5012     0.00     0.00  std::optional<Range>::operator*() &
  0.00      0.15     0.00     5012     0.00     0.00  std::_Optional_base<Range>::_M_get()
  0.00      0.15     0.00     5012     0.00     0.00  std::_Optional_base<Range>::_Optional_base<Range&, false>(std::in_place_t, Range&)
  0.00      0.15     0.00     5012     0.00     0.00  std::_Optional_payload<Range, false, false>::_Optional_payload<Range&>(std::in_place_t, Range&)
  0.00      0.15     0.00     5012     0.00     0.00  std::optional<Range>::optional<Range&, true>(Range&)
  0.00      0.15     0.00       86     0.00     0.00  std::move_iterator<Range*>::base() const
  0.00      0.15     0.00       79     0.00     0.00  Range* std::__addressof<Range>(Range&)
  0.00      0.15     0.00       48     0.00     2.00  void std::_Destroy<Range>(Range*)
  0.00      0.15     0.00       48     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.15     0.00       43     0.00     0.00  bool std::operator==<Range*>(std::move_iterator<Range*> const&, std::move_iterator<Range*> const&)
  0.00      0.15     0.00       43     0.00     0.00  bool std::operator!=<Range*>(std::move_iterator<Range*> const&, std::move_iterator<Range*> const&)
  0.00      0.15     0.00       40     0.00     0.00  Range const& std::forward<Range const&>(std::remove_reference<Range const&>::type&)
  0.00      0.15     0.00       31     0.00     0.00  std::move_iterator<Range*>::operator*() const
  0.00      0.15     0.00       31     0.00     0.00  std::move_iterator<Range*>::operator++()
  0.00      0.15     0.00       31     0.00     0.00  void std::_Construct<Range, Range>(Range*, Range&&)
  0.00      0.15     0.00       31     0.00     0.00  Range&& std::forward<Range>(std::remove_reference<Range>::type&)
  0.00      0.15     0.00       24     0.00     0.00  __gnu_cxx::__normal_iterator<Range*, std::vector<Range, std::allocator<Range> > >::base() const
  0.00      0.15     0.00       24     0.00     0.00  std::move_iterator<Range*>::move_iterator(Range*)
  0.00      0.15     0.00       24     0.00     0.00  std::move_iterator<Range*> std::__make_move_if_noexcept_iterator<Range, std::move_iterator<Range*> >(Range*)
